"Wanderungen zwischen Deutschland und dem Ausland:
Deutschland, Jahre, Nationalität, Geschlecht, Altersjahre";;;;;;;;;;;;;;;;;;;;;;;;;;;
Wanderungsstatistik;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Jahr
Altersjahre";Deutsche;;;;;;;;;Ausländer;;;;;;;;;Insgesamt;;;;;;;;
;männlich;;;weiblich;;;Insgesamt;;;männlich;;;weiblich;;;Insgesamt;;;männlich;;;weiblich;;;Insgesamt;;
;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo
;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
2021;;;;;;;;;;;;;;;;;;;;;;;;;;;
85-Jährige;55;166;-111;59;291;-232;114;457;-343;70;260;-190;121;249;-128;191;509;-318;125;426;-301;180;540;-360;305;966;-661
86-Jährige;38;148;-110;57;284;-227;95;432;-337;50;215;-165;91;202;-111;141;417;-276;88;363;-275;148;486;-338;236;849;-613
87-Jährige;23;123;-100;58;237;-179;81;360;-279;45;242;-197;98;181;-83;143;423;-280;68;365;-297;156;418;-262;224;783;-559
88-Jährige;21;82;-61;37;196;-159;58;278;-220;44;205;-161;85;169;-84;129;374;-245;65;287;-222;122;365;-243;187;652;-465
89-Jährige;25;82;-57;37;205;-168;62;287;-225;21;154;-133;54;157;-103;75;311;-236;46;236;-190;91;362;-271;137;598;-461
90-Jährige;12;68;-56;30;222;-192;42;290;-248;24;123;-99;44;106;-62;68;229;-161;36;191;-155;74;328;-254;110;519;-409
91-Jährige;13;59;-46;22;187;-165;35;246;-211;16;105;-89;43;110;-67;59;215;-156;29;164;-135;65;297;-232;94;461;-367
92-Jährige;4;52;-48;23;184;-161;27;236;-209;13;52;-39;21;72;-51;34;124;-90;17;104;-87;44;256;-212;61;360;-299
93-Jährige;5;43;-38;14;166;-152;19;209;-190;8;55;-47;28;63;-35;36;118;-82;13;98;-85;42;229;-187;55;327;-272
94-Jährige;5;44;-39;10;123;-113;15;167;-152;4;60;-56;15;58;-43;19;118;-99;9;104;-95;25;181;-156;34;285;-251
95 Jahre und mehr;14;127;-113;51;443;-392;65;570;-505;12;186;-174;27;242;-215;39;428;-389;26;313;-287;78;685;-607;104;998;-894
Insgesamt;114225;149884;-35659;69425;97945;-28520;183650;247829;-64179;687952;493781;194171;451864;252693;199171;1139816;746474;393342;802177;643665;158512;521289;350638;170651;1323466;994303;329163
______________;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
© Statistisches Bundesamt (Destatis), 2022 | Stand: 25.11.2022 / 15:59:31;;;;;;;;;;;;;;;;;;;;;;;;;;;
